"Magento version compatibility","Magento versie compatibiliteit"
"Supported Magento versions","Ondersteunde Magento versies"
"GLS version","GLS versie"
"Your PHP version","Jouw PHP versie"
Support,Support
"This extension is developed by <a href=""https://tig.nl"" target=""_BLANK"">TIG</a>","Deze extensie is ontwikkeld door <a href=""https://tig.nl"" target=""_BLANK"">TIG</a>"
"Extension basic configuration and account information","Extensie basisconfiguratie en accountinformatie"
"Please contact:","Neem contact op:"
GLS,GLS
"General Configuration","Algemene Configuratie"
Mode,Modus
"Version & Support","Versie & Support"
